Pathway,Pleural epithelioid mesothelioma,Pancreatic carcinoma,Colon carcinoma,Adenosquamous lung carcinoma,Papillary renal cell carcinoma,Prostate carcinoma,Gliosarcoma,Small cell lung carcinoma,Clear cell renal cell carcinoma,Ductal breast carcinoma,Melanoma,Squamous cell lung carcinoma,Bladder squamous cell carcinoma,Renal cell carcinoma,Recurrent bladder carcinoma,"Chronic myelogenous leukemia, BCR-ABL1 positive",Childhood T acute lymphoblastic leukemia,Ovarian endometrioid adenocarcinoma,Pancreatic adenocarcinoma,Pancreatic ductal adenocarcinoma,Breast adenocarcinoma,High grade ovarian serous adenocarcinoma,Breast carcinoma,Colon adenocarcinoma,Bladder carcinoma,Plasma cell myeloma,"Invasive ductal carcinoma, not otherwise specified",Non-small cell lung carcinoma,Lung mucoepidermoid carcinoma,Minimally invasive lung adenocarcinoma,Large cell lung carcinoma,Glioblastoma,"Squamous cell breast carcinoma, acantholytic variant",Adult acute myeloid leukemia,Inflammatory breast carcinoma,Cutaneous melanoma,Lung carcinoid tumor,Astrocytoma,Amelanotic melanoma,Lung adenocarcinoma,Papillary lung adenocarcinoma,Bronchogenic carcinoma,Adult T acute lymphoblastic leukemia
Purine Metabolism,1,1,1,-1,1,0,-1,0,0,0,0,0,0,-1,0,-1,-1,1,0,1,0,-1,-1,1,0,-1,-1,-1,-1,1,0,-1,1,0,0,-1,1,-1,1,0,1,1,-1
Warburg Effect,-1,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,1,0,0,0,-1,1,0,0,0,-1,-1,1,0,-1,-1,-1,0,0,-1,0,0,-1,1,-1,1,-1,1,0,1,0,-1
Glycine and Serine Metabolism,-1,0,1,-1,1,0,-1,0,0,1,-1,0,0,-1,0,-1,-1,1,1,0,0,-1,-1,1,0,-1,-1,0,-1,0,0,-1,1,-1,-1,-1,1,-1,0,0,1,0,-1
beta-Alanine Metabolism,0,0,1,-1,1,-1,-1,0,0,0,0,0,0,-1,0,-1,-1,1,1,0,0,-1,-1,1,0,-1,-1,-1,-1,0,0,-1,1,-1,0,-1,0,-1,0,0,0,1,-1
Glutamate Metabolism,0,0,1,-1,0,0,-1,0,-1,0,0,0,0,-1,0,-1,-1,0,0,0,-1,-1,-1,1,-1,-1,-1,0,-1,1,0,-1,1,-1,0,-1,1,-1,0,0,1,0,-1
Pyrimidine Metabolism,0,1,1,-1,-1,0,-1,0,-1,0,0,0,0,-1,0,-1,-1,0,0,0,1,-1,-1,1,0,-1,-1,0,-1,0,0,-1,1,-1,0,0,1,-1,0,0,0,1,-1
"Valine, Leucine, and Isoleucine Degradation",0,0,1,-1,1,-1,-1,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,-1,-1,1,0,-1,-1,-1,-1,1,0,-1,0,-1,0,-1,1,-1,0,0,1,0,-1
Citric Acid Cycle,0,0,1,-1,1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,1,0,0,0,-1,-1,1,-1,-1,-1,-1,-1,0,0,-1,0,-1,0,-1,1,-1,0,0,1,0,-1
Pyruvate Metabolism,0,0,1,0,1,0,-1,-1,0,0,0,0,0,0,0,0,-1,1,1,0,-1,-1,-1,1,0,-1,-1,-1,-1,0,0,-1,1,-1,0,-1,1,-1,0,0,1,0,-1
Arginine and Proline Metabolism,0,0,1,-1,1,-1,-1,-1,-1,0,0,0,0,-1,0,-1,-1,0,0,0,-1,-1,-1,0,-1,-1,-1,-1,1,0,0,-1,1,-1,0,-1,0,0,0,0,0,0,-1
Tryptophan Metabolism,0,0,1,-1,1,-1,-1,0,0,1,-1,0,0,0,0,-1,-1,0,0,0,-1,-1,-1,0,0,-1,-1,0,0,0,0,-1,1,-1,0,-1,0,-1,-1,0,0,1,-1
Tyrosine Metabolism,-1,-1,-1,-1,0,-1,0,-1,0,0,-1,-1,0,0,-1,-1,0,1,0,0,0,-1,-1,0,-1,-1,0,-1,-1,0,-1,0,0,-1,0,-1,0,0,0,0,0,-1,-1
Methionine Metabolism,0,0,-1,1,1,-1,-1,0,0,0,-1,0,0,-1,0,-1,-1,0,0,0,-1,-1,0,0,-1,-1,0,0,0,-1,0,-1,1,-1,-1,-1,0,-1,0,0,0,1,-1
Fructose and Mannose Degradation,-1,-1,-1,-1,1,-1,-1,-1,0,0,0,0,0,0,1,-1,-1,0,0,0,0,-1,-1,0,-1,-1,-1,-1,0,0,0,-1,0,-1,1,-1,0,0,0,0,1,0,-1
Pentose Phosphate Pathway,-1,0,0,-1,1,-1,-1,-1,-1,0,0,0,0,0,0,-1,-1,1,0,0,1,-1,-1,1,0,-1,-1,-1,0,0,0,-1,0,-1,0,-1,0,0,1,0,1,0,-1
Lysine Degradation,0,0,1,0,1,-1,-1,0,0,0,0,0,0,0,0,-1,-1,1,0,0,-1,-1,-1,1,0,-1,-1,-1,-1,0,0,-1,0,-1,0,-1,0,-1,0,0,1,0,-1
Histidine Metabolism,0,0,1,0,1,-1,-1,0,0,1,0,0,1,0,0,-1,-1,0,1,0,-1,-1,-1,0,0,-1,-1,0,0,0,0,-1,1,-1,0,-1,1,0,0,0,0,1,-1
Propanoate Metabolism,0,0,1,-1,1,-1,-1,0,1,0,0,0,0,0,0,0,-1,1,0,0,0,-1,-1,1,0,-1,-1,-1,0,0,0,-1,0,-1,0,-1,1,-1,0,0,1,0,-1
Phospholipid Biosynthesis,0,1,1,-1,-1,-1,-1,0,0,0,0,0,-1,-1,0,1,0,0,0,0,-1,0,0,0,-1,0,-1,-1,0,0,-1,-1,0,1,-1,-1,1,-1,0,0,0,1,0
Ammonia Recycling,0,-1,-1,-1,-1,-1,-1,-1,-1,0,0,0,0,-1,0,-1,-1,0,0,0,-1,-1,-1,0,0,-1,0,0,0,0,-1,-1,0,-1,0,-1,1,0,0,0,0,0,-1
Alpha Linolenic Acid and Linoleic Acid Metabolism,0,0,-1,1,0,1,1,0,0,0,0,0,-1,1,0,0,1,-1,-1,0,-1,0,1,-1,0,1,1,0,0,-1,0,0,0,1,0,1,1,1,0,0,-1,-1,0
Glycerolipid Metabolism,0,0,0,-1,0,-1,-1,-1,0,0,0,0,-1,0,-1,0,0,1,0,0,0,-1,-1,0,-1,-1,-1,-1,-1,0,0,-1,0,0,0,-1,1,-1,0,0,1,1,-1
Bile Acid Biosynthesis,0,-1,0,0,1,-1,-1,0,1,0,-1,0,-1,0,1,-1,0,-1,0,0,-1,-1,0,0,0,0,0,0,-1,0,0,-1,0,1,0,-1,1,0,0,0,1,1,-1
Gluconeogenesis,-1,-1,-1,-1,0,-1,0,-1,0,0,-1,0,0,0,0,0,0,1,0,0,1,-1,-1,0,-1,-1,-1,0,0,0,-1,0,0,-1,1,-1,0,0,0,0,1,0,-1
Folate Metabolism,0,0,-1,0,1,-1,-1,0,1,0,0,0,-1,-1,0,0,-1,0,0,0,-1,0,0,1,-1,-1,0,0,-1,0,0,-1,0,-1,0,-1,-1,0,-1,0,0,0,-1
Sphingolipid Metabolism,0,1,0,-1,1,0,1,0,1,0,1,0,-1,1,-1,0,1,1,0,0,0,1,0,0,0,-1,0,-1,0,0,0,0,-1,0,1,1,1,0,0,-1,-1,0,0
Aspartate Metabolism,0,1,1,-1,-1,0,-1,0,-1,0,0,0,-1,-1,0,-1,-1,1,0,0,0,-1,-1,1,0,-1,0,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1
Nicotinate and Nicotinamide Metabolism,0,0,1,-1,-1,-1,-1,0,-1,0,0,0,0,-1,0,-1,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,-1,1,-1,0,-1,1,0,0,0,0,0,-1
Nucleotide Excision Repair,0,0,1,-1,-1,-1,-1,0,-1,0,0,0,0,-1,0,-1,0,0,0,0,-1,-1,0,0,0,0,-1,0,0,0,0,-1,1,-1,0,-1,1,0,0,0,0,0,-1
Amino Sugar Metabolism,-1,0,1,-1,-1,-1,-1,0,-1,0,0,-1,0,0,0,0,-1,0,0,0,1,0,0,0,0,-1,-1,0,-1,-1,0,-1,0,0,0,0,-1,-1,0,0,0,0,0
Fatty Acid Biosynthesis,0,0,-1,0,-1,0,0,-1,-1,0,-1,0,0,0,-1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,-1,0,0,-1,0,0,-1,-1,0,0,0,-1,-1,1
Mitochondrial Electron Transport Chain,-1,-1,-1,0,0,-1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1,-1,-1,0,-1,-1,0,0,-1,0,-1,1,0,0,0,0,0,-1
Glycolysis,-1,-1,-1,-1,0,-1,0,-1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,-1,-1,0,0,0,-1,0,0,-1,0,-1,0,0,0,0,1,0,-1
Glycerol Phosphate Shuttle,-1,-1,-1,1,0,-1,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,-1,0,0,-1,-1,0,0,-1,0,-1,0,0,0,0,0,0,-1
Fatty Acid Metabolism,0,0,1,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,-1,-1,-1,-1,0,0,-1,0,0,0,-1,1,-1,0,0,0,1,-1
Mitochondrial Beta-Oxidation of Long Chain Saturated Fatty Acids,0,0,1,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,-1,-1,-1,-1,0,0,-1,0,0,0,-1,1,-1,0,0,0,1,-1
Steroid Biosynthesis,0,0,1,0,0,-1,-1,0,0,0,-1,0,1,0,0,0,0,0,0,0,-1,-1,0,1,0,0,-1,0,-1,0,0,-1,1,0,0,0,1,-1,-1,0,0,1,0
Retinol Metabolism,0,0,0,0,0,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,-1,0,-1,-1,-1,-1,-1,-1,0,0,0,-1,0,-1,0,0,0,0,-1
Caffeine Metabolism,0,0,1,0,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,1,0,-1,-1,-1,-1,-1,0,-1,0,0,0,-1,0,-1,0,0,0,0,-1
Transfer of Acetyl Groups into Mitochondria,0,0,0,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,-1,-1,-1,-1,-1,0,-1,0,0,0,-1,0,-1,0,0,0,0,-1
Glutathione Metabolism,0,0,1,1,0,1,-1,0,0,0,0,0,1,0,0,-1,-1,0,0,0,-1,-1,-1,0,0,0,-1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,-1
Starch and Sucrose Metabolism,-1,-1,-1,0,0,-1,0,-1,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,0,0,-1,-1,0,0,0,0,0,-1,0,-1,1,-1,0,0,0,0,1,0,-1
Urea Cycle,0,-1,0,-1,-1,-1,0,0,-1,0,0,0,0,0,0,-1,-1,1,0,0,0,0,-1,1,0,-1,0,0,1,0,0,0,0,-1,0,-1,0,0,0,0,0,0,-1
Steroidogenesis,0,0,-1,1,-1,0,1,-1,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,-1,0,1,0,0,0,-1,-1,0,0,0,0,-1,-1
Nucleotide Sugars Metabolism,0,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,-1,-1,-1,0,-1,-1,0,-1,0,0,0,-1,1,-1,0,-1,0,0,0,0,0,0,-1
Ethanol Degradation,0,0,1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,-1,0,0,0,-1,0,-1,0,0,0,0,-1
Fatty Acid Elongation in Mitochondria,0,0,1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,0,0,0,-1,-1,-1,-1,-1,0,-1,0,0,0,-1,0,-1,0,0,0,0,-1
Butyrate Metabolism,0,0,1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,-1,-1,-1,1,0,-1,0,0,0,-1,1,-1,0,0,0,0,-1
Porphyrin Metabolism,0,0,0,1,1,-1,-1,0,0,0,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,-1,-1,0,0,0,0,-1,1,-1,0,-1,0,-1,0,0,0,0,-1
D-Arginine and D-Ornithine Metabolism,0,0,0,0,1,0,0,0,-1,0,0,0,0,-1,0,-1,-1,0,0,0,-1,0,-1,0,0,-1,-1,0,0,0,0,-1,1,-1,0,0,0,0,0,0,0,1,-1
Threonine and 2-Oxobutanoate Degradation,0,0,1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,-1,-1,-1,0,0,0,-1,0,0,0,-1,1,-1,0,0,0,0,-1
Oxidation of Branched-Chain Fatty Acids,0,0,1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,1,0,0,0,-1,0,0,0,-1,1,0,0,-1,1,-1,0,0,0,1,0
Ketone Body Metabolism,0,0,1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,-1,0,1,0,0,-1,-1,0,0,0,-1,0,0,0,-1,0,-1,0,0,0,0,-1
Phytanic Acid Peroxisomal Oxidation,0,0,1,-1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,1,0,0,-1,-1,-1,0,0,0,0,-1,0,0,0,-1,0,0,0,-1,0,-1,0,0,0,0,-1
Cardiolipin Biosynthesis,0,0,0,0,0,-1,-1,0,0,0,0,0,-1,0,0,0,0,0,0,0,-1,0,0,0,-1,0,-1,-1,-1,0,0,-1,0,0,0,-1,0,-1,0,0,0,0,-1
Plasmalogen Synthesis,0,0,-1,0,0,-1,-1,0,0,0,0,0,0,0,0,1,0,0,0,0,-1,0,0,0,-1,0,-1,0,0,0,0,-1,0,1,0,0,1,-1,0,0,0,0,1
Mitochondrial Beta-Oxidation of Short Chain Saturated Fatty Acids,0,0,1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,-1,-1,0,0,-1,0,0,0,-1,1,-1,0,0,0,0,-1
Arachidonic Acid Metabolism,0,1,-1,0,-1,0,0,0,0,-1,0,0,0,0,-1,1,0,0,0,0,0,0,0,-1,0,1,0,0,1,0,0,0,0,0,0,0,-1,0,1,0,0,-1,0
Mitochondrial Beta-Oxidation of Medium Chain Saturated Fatty Acids,0,0,1,0,0,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,-1,-1,-1,-1,0,0,-1,0,0,0,-1,0,-1,0,0,0,0,-1
Taurine and Hypotaurine Metabolism,-1,0,1,-1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,-1,0,0,0,0,0,0,-1,0,0,0,1,0,0,0,1,0,0,0,0,-1,0
